The popup on hover provides the,,,,,,,,,"Molecular targets with a negative result are represented with a '-' in their cell, while positve results are represented with a '+'. Some data has quantitaive results that have been ranked into percentiles. The percentile shows the percent of samples found at the same level, or below, for that particular target. You can think of it as a ranking from 0 to 100, with lower rank is ""better"" (less virus). For example, a pathogen found to be postive and ranked at 'below 30th', would be a relatively low level at the lower third compared to other samples. Sampling targets are described below.",,,,,,,,,,,,,,,,
pathogen prevalance in %,,,,,,,,,,,,,,,,,,,,,,,,,
samples_n = number of virus samples,,,,,,,,,,,,,,,,,,,,,,,,,
sources_n = the number of different operation owners per sampling project represented,,,,,,,,,,,,,,,,,,,,,,,,,
months = the months the samples were collected,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Includes data with a collection date up to Dec 31, 2020",,,,,,,,,,,,,,,,,,,,,,,,,
sample_year,sample_month_number,sample_month,state_code,sampling_county,varroa_per_100_bees,million_spores_per_bee,abpv,abpv_percentile,cbpv,cbpv_percentile,dwv,dwv_percentile,dwv-b,dwv-b_percentile,iapv,iapv_percentile,kbv,kbv_percentile,lsv2,lsv2_percentile,sbpv,sbpv_percentile,mkv,mkv_percentile,pesticides
2010,5,May,FL,,0.65,0.08,,,-,,+,,,,-,,-,,,,-,,,,
2010,5,May,FL,,1.76,0.1,,,-,,+,,,,-,,-,,,,-,,,,
2010,5,May,FL,,3.9,0.02,,,-,,+,,,,-,,-,,,,-,,,,
2010,5,May,HI,,7.99,0.93,,,-,,+,,,,-,,-,,,,-,,,,
2010,5,May,HI,,1.6,0.63,,,-,,+,,,,-,,-,,,,-,,,,
2010,5,May,HI,,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,5,May,HI,,,,,,,,,,,,,,,,,,,,,,
2010,5,May,HI,,3.97,1.25,,,-,,-,,,,-,,-,,,,-,,,,
2010,5,May,PA,,3.82,0.38,-,,,,+,,,,-,,-,,,,-,,,,
2010,5,May,PA,,0.09,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,5,May,TN,,0.2,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,5,May,TN,,0.93,0,-,,,,-,,,,-,,-,,,,-,,,,
2010,6,June,GA,,0.31,0.18,-,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,GA,,0.41,0.02,-,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,GA,,1.96,0.03,-,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,GA,,0,0.05,-,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,GA,,0.07,0.02,-,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,GA,,1.27,0.02,-,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,GA,,0,0.02,-,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,IN,,1.12,0.38,-,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,IN,,2.9,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,IN,,2.21,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,IN,,1.59,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,IN,,2.32,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,IN,,1.26,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,IN,,0.47,0.35,-,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,IN,,0.89,0.02,-,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,IN,,2.57,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,PA,,0.64,0.83,-,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,PA,,1.21,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,PA,,3.69,0.27,-,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,PA,,1.33,0.1,-,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,PA,,3.51,0.12,-,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,TN,,5.5,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,TN,,0.93,0,-,,,,+,,,,-,,+,,,,-,,,,
2010,6,June,TN,,0.79,0,-,,,,-,,,,-,,-,,,,-,,,,
2010,7,July,NY,,0.76,0.03,-,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,GA,,1.73,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,GA,,7.09,0.02,-,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,GA,,1.8,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,GA,,1.96,0.02,-,,,,-,,,,-,,-,,,,-,,,,
2010,7,July,GA,,0.72,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,GA,,2.52,0.02,-,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,GA,,1.69,0.05,-,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,GA,,0.45,0.02,-,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,GA,,0.32,0.07,-,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,IN,,1.65,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,IN,,4.65,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,IN,,3.55,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,IN,,0.16,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,IN,,0.08,0.02,+,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,TX,,3.56,0,+,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,NY,,0.53,0.08,-,,,,-,,,,-,,-,,,,-,,,,
2010,7,July,NY,,3,0.2,-,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,NY,,0.07,0.3,-,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,NY,,0.38,0.08,-,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,NY,,1.97,0.03,-,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,NY,,1.05,0.02,-,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,NY,,0.45,0.02,-,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,NY,,3.27,0.07,-,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,NY,,0.38,0.07,-,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,NY,,1.71,0.02,-,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,NY,,10.32,0.1,-,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,PA,,2,0.02,-,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,PA,,3.9,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,TX,,5.19,0,+,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,TX,,0.76,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,TX,,4.99,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,MI,,1.13,0,+,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,AL,,4.75,0.02,+,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,AL,,3.08,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,AL,,2.06,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,AL,,2.04,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,AL,,1.56,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,AL,,3.41,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,AL,,5.26,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,AL,,1.4,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,AL,,1.29,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,AL,,5.76,0,,,,,,,,,,,,,,,,,,,
2010,8,August,GA,,5.83,0.1,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,GA,,3.86,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,GA,,3.4,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,GA,,0.54,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,GA,,2.23,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,GA,,3.36,0,-,,,,+,,,,-,,+,,,,-,,,,
2010,8,August,GA,,2.76,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,GA,,1.45,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,GA,,0.26,0.07,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,HI,,,,,,,,,,,,,,,,,,,,,,
2010,8,August,IN,,1.88,0.02,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,IN,,3.02,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,IN,,4.35,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,MI,,3.81,0.07,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,MI,,0.66,0.03,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,MI,,4.56,0.1,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,MI,,0.33,0.03,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,MI,,3.21,0.02,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,MI,,0.36,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,MI,,1.08,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,NY,,2.55,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,NY,,8.18,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,NY,,0.74,0.08,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,NY,,9.24,0.05,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,NY,,9.47,0.07,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,NY,,0.7,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,NY,,0.28,0.02,+,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,NY,,1.18,0.17,+,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,NY,,1.01,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,PA,,4.06,0.03,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,PA,,7.74,0.15,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,PA,,5.27,0.05,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,PA,,3.73,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,SD,,8.45,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,SD,,10.07,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,SD,,0.8,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,SD,,0.36,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,SD,,0.23,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,SD,,0.59,0,-,,,,-,,,,-,,-,,,,-,,,,
2010,8,August,SD,,0.95,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,SD,,13.46,0.03,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,TN,,8.53,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,TN,,2.06,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,TN,,5.79,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,TX,,0.17,0.05,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,TX,,2.85,0,-,,,,+,,,,+,,+,,,,-,,,,
2010,8,August,TX,,1.62,0.02,+,,,,+,,,,+,,+,,,,-,,,,
2010,8,August,TX,,4.74,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,TX,,2.17,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,TX,,5.86,0.02,-,,,,+,,,,+,,-,,,,-,,,,
2010,9,September,AL,,0.13,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,AL,,10.06,0.02,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,PA,,13.88,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,AL,,2.19,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,AL,,2.9,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,AL,,0.93,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,AL,,2.39,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,AL,,3.47,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,AL,,9.96,0.1,-,,,,+,,,,-,,+,,,,-,,,,
2010,9,September,AL,,1,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,AL,,2.34,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,AL,,4.25,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,AL,,3.24,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,AL,,1.85,1.85,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,AL,,1.52,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,IN,,15.01,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,IN,,9.46,0.05,-,,,,-,,,,-,,-,,,,-,,,,
2010,9,September,IN,,7.77,0.02,+,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,IN,,3.82,0.02,-,,,,-,,,,-,,-,,,,-,,,,
2010,9,September,IN,,3.76,0.02,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,IN,,2.84,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,MI,,24.96,0,-,,,,+,,,,+,,-,,,,-,,,,
2010,9,September,MI,,16.07,0,+,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,MI,,5.78,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,MI,,16.44,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,MI,,7.23,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,MI,,28.79,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,MI,,6.38,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,MI,,7.99,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,WA,,0.08,0.1,+,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,NY,,0.07,0.1,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,NY,,8.15,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,NY,,2.28,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,PA,,3.52,0.05,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,PA,,4.86,0,+,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,PA,,2.04,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,PA,,9.32,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,PA,,1.83,0.18,+,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,PA,,1.17,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,PA,,4.21,0,,,,,,,,,,,,,,,,,,,
2010,9,September,PA,,2.71,0,,,,,,,,,,,,,,,,,,,
2010,9,September,WA,,0,0,-,,,,-,,,,-,,-,,,,-,,,,
2010,9,September,SD,,0.34,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,SD,,0.23,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,SD,,0.64,0.05,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,SD,,24.12,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,SD,,0.82,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,SD,,15.99,0,-,,,,-,,,,-,,-,,,,-,,,,
2010,9,September,TN,,0.67,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,TN,,13.63,0.05,-,,,,+,,,,+,,-,,,,-,,,,
2010,9,September,TN,,8.6,0,-,,,,-,,,,-,,-,,,,-,,,,
2010,9,September,TN,,9.13,0.05,-,,,,+,,,,+,,-,,,,-,,,,
2010,9,September,TN,,21.03,0,-,,,,-,,,,-,,-,,,,-,,,,
2010,9,September,TX,,4.09,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,TX,,4.97,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,TX,,1.93,0,+,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,TX,,0.91,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,TX,,3.11,0.03,+,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,TX,,1.3,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,9,September,WA,,0.08,0.38,-,,,,-,,,,-,,-,,,,-,,,,
2010,9,September,WA,,3.67,0.17,-,,,,-,,,,+,,-,,,,-,,,,
2010,9,September,WA,,5.4,0.77,-,,,,-,,,,-,,-,,,,-,,,,
2010,9,September,WA,,8.83,0.23,-,,,,+,,,,+,,-,,,,-,,,,
2010,10,October,AL,,7.93,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,10,October,IN,,18.72,0.03,-,,,,+,,,,-,,-,,,,-,,,,
2010,10,October,IN,,22.29,0,-,,,,+,,,,-,,+,,,,-,,,,
2010,10,October,MI,,6.3,0.02,-,,,,+,,,,-,,-,,,,-,,,,
2010,10,October,MI,,17.8,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,10,October,MI,,0.97,0,-,,,,-,,,,-,,-,,,,-,,,,
2010,10,October,MI,,0.48,0.02,-,,,,+,,,,-,,-,,,,-,,,,
2010,10,October,MI,,4.76,0,+,,,,+,,,,-,,-,,,,-,,,,
2010,10,October,MI,,0.08,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,10,October,MI,,2.63,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,10,October,MI,,10.27,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,10,October,MI,,16.56,0.03,-,,,,+,,,,-,,-,,,,-,,,,
2010,10,October,TX,,4.84,0,-,,,,+,,,,-,,-,,,,-,,,,
2010,10,October,PA,,5.86,0,,,,,,,,,,,,,,,,,,,
2010,10,October,PA,,17.76,0,+,,,,+,,,,-,,-,,,,-,,,,
2010,10,October,PA,,1.29,0,+,,,,+,,,,-,,-,,,,-,,,,
2010,10,October,SD,,2.23,0.02,-,,,,+,,,,-,,-,,,,-,,,,
2010,10,October,SD,,4.96,0,-,,,,+,,,,-,,-,,,,-,,,,
