,year,yieldpercol,nTHIACLOPRID,prevyear_nIMIDACLOPRID,prevyear_nACETAMIPRID,NorthDakota_PrevYear,avg_temp,anomaly,varroa,spores,cbpv_max,dwv_max,iapv_max,kbv_max,sbpv_max,abpv_max,lsv2_max,mkv_max,cbpv_prob,dwv_prob,kbv_prob,sbpv_prob,abpv_prob,dwv-b_prob,lsv2_prob,mkv_prob,prevyearspores,prevyearvarroa,urbanicity,Prev Hazardous Days,Prev Days CO,Prev Days NO2,Prev Days Ozone,Prev Days PM2.5,Prev Days PM10,StateName_Alabama,StateName_Arizona,StateName_Arkansas,StateName_Colorado,StateName_Florida,StateName_Georgia,StateName_Hawaii,StateName_Idaho,StateName_Illinois,StateName_Indiana,StateName_Iowa,StateName_Kansas,StateName_Kentucky,StateName_Louisiana,StateName_Maine,StateName_Maryland,StateName_Michigan,StateName_Minnesota,StateName_Mississippi,StateName_Missouri,StateName_Montana,StateName_Nebraska,StateName_Nevada,StateName_New Jersey,StateName_New Mexico,StateName_New York,StateName_North Carolina,StateName_North Dakota,StateName_Ohio,StateName_Oklahoma,StateName_Oregon,StateName_Pennsylvania,StateName_South Carolina,StateName_South Dakota,StateName_Tennessee,StateName_Texas,StateName_Utah,StateName_Vermont,StateName_Virginia,StateName_Washington,StateName_West Virginia,StateName_Wisconsin,StateName_Wyoming,Region_Midwest,Region_Northeast,Region_South,Region_West
17,2009,50,0.0,3296.6,0.0,90.0,75.0,0.3,5.559735117197618,0.1407145525770525,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1214630277130277,0.9341135716135716,0.0,0.0,0.0,1.0,0.0,0.0,0.1515616618175412,5.591073896908975,55.4,0.0,1.105263157894737,0.0,139.47368421052633,119.05263157894736,7.421052631578948,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,2010,54,0.0,3991.9,0.0,77.0,76.9,2.2,3.3908,0.0796,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.04,0.0,0.04,1.0,0.0,0.0,0.1242768739239095,5.15371023769087,59.0,0.0,0.2105263157894736,0.0,132.21052631578948,132.3684210526316,7.578947368421052,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,2008,66,0.0,3258.1,0.0,74.0,74.5,-0.2,5.559735117197618,0.1407145525770525,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1214630277130277,0.9341135716135716,0.0,0.0,0.0,1.0,0.0,0.0,0.1515616618175412,5.591073896908975,55.4,0.0,1.0,0.0,165.2,103.55,7.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,2014,65,0.0,17309.0,0.0,69.0,58.7,-1.7,5.664583333333333,0.0666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0416666666666666,1.0,0.0833333333333333,0.0,0.375,1.0,0.1666666666666666,0.0,0.0,3.9279166666666665,56.2,0.0,0.0,2.727272727272727,155.54545454545453,88.81818181818181,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,2013,60,0.0,12508.7,59.7,69.0,59.6,-0.8,3.9279166666666665,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0833333333333333,0.9166666666666666,0.2083333333333333,0.0,0.2083333333333333,1.0,0.125,0.0,0.025,6.6125,56.2,0.0,0.0,2.642857142857143,123.28571428571428,81.14285714285714,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,2011,64,0.0,9049.8,902.7,91.0,61.8,1.4,4.008,0.2459999999999999,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,1.0,0.0,0.0,0.0576387163561076,4.37755900621118,56.2,0.0,0.0,2.9411764705882355,110.3529411764706,94.94117647058825,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,2009,57,0.0,9093.8,995.7,90.0,59.9,-0.5,4.343848429951691,0.0591763285024154,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.056159420289855,0.9160144927536232,0.0,0.0,0.0,1.0,0.0,0.0,0.0754906832298136,4.82801966873706,52.5,0.0,0.0,3.875,100.5625,102.3125,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,2016,69,2.6,5235.9,748.0,74.0,62.8,2.4,4.343848429951691,0.0591763285024154,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.056159420289855,0.9160144927536232,0.0,0.0,0.0,1.0,0.0,0.0,0.0754906832298136,4.82801966873706,56.2,0.0,0.0,2.636363636363636,157.72727272727272,87.9090909090909,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,2015,72,0.0,17066.9,692.1,86.0,61.4,1.0,3.1021739130434782,0.017391304347826,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0869565217391304,0.8260869565217391,0.0,0.0,0.217391304347826,1.0,0.3043478260869565,0.0,0.0666666666666666,5.664583333333333,56.2,0.0,0.0,2.909090909090909,157.8181818181818,89.45454545454545,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,2010,60,0.0,10079.4,349.1,77.0,61.2,0.8,4.343848429951691,0.0591763285024154,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.056159420289855,0.9160144927536232,0.0,0.0,0.0,1.0,0.0,0.0,0.0754906832298136,4.82801966873706,56.2,0.0,0.0,2.4375,103.9375,100.6875,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,2012,63,0.0,15162.1,2874.3,71.0,63.6,3.2,6.6125,0.025,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9583333333333334,0.0833333333333333,0.0,0.375,1.0,0.0,0.0,0.2459999999999999,4.008,56.2,0.0,0.0,3.0,108.76470588235294,90.47058823529412,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,2008,75,0.0,12750.1,1277.4,74.0,59.9,-0.5,4.343848429951691,0.0591763285024154,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.056159420289855,0.9160144927536232,0.0,0.0,0.0,1.0,0.0,0.0,0.0754906832298136,4.82801966873706,52.5,0.0,0.0,3.9375,106.4375,97.625,0.0625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,2007,80,0.0,7036.6,4686.6,74.0,61.8,1.4,4.343848429951691,0.0591763285024154,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.056159420289855,0.9160144927536232,0.0,0.0,0.0,1.0,0.0,0.0,0.0754906832298136,4.82801966873706,52.5,0.0,0.0,4.875,91.0,94.5,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,2017,77,2.6,12671.921052631578,334.5105263157895,78.0,62.5,2.1,2.747916666666667,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.125,0.875,0.0416666666666666,0.0,0.1666666666666666,0.9166666666666666,0.3333333333333333,0.0,0.0576387163561076,4.37755900621118,56.2,0.0,0.0,2.363636363636364,165.54545454545453,84.63636363636364,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,2006,76,0.0,6902.1,981.2,91.0,62.0,1.6,4.343848429951691,0.0591763285024154,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.056159420289855,0.9160144927536232,0.0,0.0,0.0,1.0,0.0,0.0,0.0754906832298136,4.82801966873706,52.5,0.0,0.0,3.0,91.86666666666666,98.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,2005,69,0.0,11941.3,3312.4,78.0,62.0,1.6,4.343848429951691,0.0591763285024154,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.056159420289855,0.9160144927536232,0.0,0.0,0.0,1.0,0.0,0.0,0.0754906832298136,4.82801966873706,52.5,0.0,0.0,0.3529411764705882,84.41176470588235,99.3529411764706,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33,2004,57,0.0,3266.6,20.8,87.0,61.0,0.6,4.343848429951691,0.0591763285024154,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.056159420289855,0.9160144927536232,0.0,0.0,0.0,1.0,0.0,0.0,0.0754906832298136,4.82801966873706,52.5,0.0,0.0,0.5238095238095238,66.71428571428571,96.57142857142856,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,2003,75,0.0,1306.7,107.9,75.0,60.3,-0.1,4.343848429951691,0.0591763285024154,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.056159420289855,0.9160144927536232,0.0,0.0,0.0,1.0,0.0,0.0,0.0754906832298136,4.82801966873706,52.5,0.0,0.2857142857142857,1.7142857142857142,69.23809523809524,100.8095238095238,0.0476190476190476,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,2002,88,0.0,2884.8,0.0,96.0,60.6,0.2,4.343848429951691,0.0591763285024154,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.056159420289855,0.9160144927536232,0.0,0.0,0.0,1.0,0.0,0.0,0.0754906832298136,4.82801966873706,52.5,0.0,0.0,0.2857142857142857,70.38095238095238,90.1904761904762,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,2001,98,0.0,844.0,0.0,115.0,61.2,0.8,4.343848429951691,0.0591763285024154,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.056159420289855,0.9160144927536232,0.0,0.0,0.0,1.0,0.0,0.0,0.0754906832298136,4.82801966873706,52.5,0.0,0.0476190476190476,0.0952380952380952,69.76190476190476,75.23809523809524,0.0476190476190476,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,1999,89,0.0,1262.3,0.0,128.0,62.1,1.7,4.343848429951691,0.0591763285024154,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.056159420289855,0.9160144927536232,0.0,0.0,0.0,1.0,0.0,0.0,0.0754906832298136,4.82801966873706,52.5,0.0,15.0,7.6,326.0,9.0,2.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,2000,93,0.0,692.2,0.0,105.0,60.9,0.5,4.343848429951691,0.0591763285024154,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.056159420289855,0.9160144927536232,0.0,0.0,0.0,1.0,0.0,0.0,0.0754906832298136,4.82801966873706,52.5,0.0,0.8333333333333334,2.333333333333333,86.88888888888889,28.72222222222222,0.1666666666666666,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39,1998,65,0.0,12671.921052631578,334.5105263157895,85.1,63.1,2.7,4.343848429951691,0.0591763285024154,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.056159420289855,0.9160144927536232,0.0,0.0,0.0,1.0,0.0,0.0,0.0754906832298136,4.82801966873706,52.5,0.0,0.8508771929824562,2.6447747041400294,118.22314649145146,84.75697320395462,0.1433897243107769,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,2009,52,0.0,8541.8,1791.8,90.0,61.1,1.7,4.013840104197156,0.2740782850264497,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0846278367204716,0.8560646736365748,0.0,0.0,0.0,0.0,0.0,0.0,0.2521028013480196,4.1214876168241,88.2,0.4615384615384615,0.0,7.461538461538462,166.3846153846154,29.76923076923077,96.6923076923077,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,2017,40,2.6,12671.921052631578,334.5105263157895,78.0,63.0,3.6,4.013840104197156,0.2740782850264497,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0846278367204716,0.8560646736365748,0.0,0.0,0.0,0.0,0.0,0.0,0.2521028013480196,4.1214876168241,89.8,0.1538461538461538,0.0,2.769230769230769,209.69230769230768,36.84615384615385,114.3846153846154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,2012,46,0.0,15866.7,1134.2,71.0,62.1,2.7,4.013840104197156,0.2740782850264497,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0846278367204716,0.8560646736365748,0.0,0.0,0.0,0.0,0.0,0.0,0.2521028013480196,4.1214876168241,89.8,1.2307692307692308,0.0,3.1538461538461537,173.92307692307693,27.846153846153847,115.6923076923077,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,2011,53,0.0,9530.3,857.7,91.0,60.3,0.9,4.013840104197156,0.2740782850264497,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0846278367204716,0.8560646736365748,0.0,0.0,0.0,0.0,0.0,0.0,0.2521028013480196,4.1214876168241,89.8,0.1538461538461538,0.0,5.615384615384615,191.23076923076923,22.76923076923077,89.92307692307692,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,2010,77,0.0,9309.2,1246.8,77.0,60.4,1.0,4.013840104197156,0.2740782850264497,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0846278367204716,0.8560646736365748,0.0,0.0,0.0,0.0,0.0,0.0,0.2521028013480196,4.1214876168241,89.8,0.5384615384615384,0.0,5.615384615384615,178.6153846153846,21.53846153846154,113.76923076923076,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
