,year,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,nCLOTHIANIDIN,nIMIDACLOPRID,nTHIAMETHOXAM,nACETAMIPRID,nTHIACLOPRID,nAllNeonic,prevyear_nCLOTHIANIDIN,prevyear_nIMIDACLOPRID,prevyear_nTHIAMETHOXAM,prevyear_nACETAMIPRID,prevyear_nTHIACLOPRID,NorthDakota_PrevYear,prevyearyield,StateName_Alabama,StateName_Arizona,StateName_Arkansas,StateName_California,StateName_Colorado,StateName_Florida,StateName_Georgia,StateName_Hawaii,StateName_Idaho,StateName_Illinois,StateName_Indiana,StateName_Iowa,StateName_Kansas,StateName_Kentucky,StateName_Louisiana,StateName_Maine,StateName_Maryland,StateName_Michigan,StateName_Minnesota,StateName_Mississippi,StateName_Missouri,StateName_Montana,StateName_Nebraska,StateName_Nevada,StateName_New Jersey,StateName_New Mexico,StateName_New York,StateName_North Carolina,StateName_North Dakota,StateName_Ohio,StateName_Oklahoma,StateName_Oregon,StateName_Pennsylvania,StateName_South Carolina,StateName_South Dakota,StateName_Tennessee,StateName_Texas,StateName_Utah,StateName_Vermont,StateName_Virginia,StateName_Washington,StateName_West Virginia,StateName_Wisconsin,StateName_Wyoming,Region_Midwest,Region_Northeast,Region_South,Region_West
13,2013,7000.0,52,364000.0,55000.0,2.85,1037000.0,5992.9,8284.4,5202.0,0.0,0.0,19479.3,4797.8,6249.1,7002.6,0.0,0.0,69.0,54.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,2014,7000.0,53,371000.0,26000.0,3.53,1310000.0,7971.6,12194.1,4745.4,0.0,0.0,24911.1,5992.9,8284.4,5202.0,0.0,0.0,69.0,52.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,2012,8000.0,54,432000.0,65000.0,2.47,1067000.0,4797.8,6249.1,7002.6,0.0,0.0,18049.5,10106.1,5229.8,7148.1,0.0,0.0,71.0,50.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,2011,9000.0,50,450000.0,63000.0,2.51,1130000.0,10106.1,5229.8,7148.1,0.0,0.0,22484.0,1914.0,1757.0,4658.3,0.0,0.0,91.0,54.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,2009,9000.0,50,450000.0,68000.0,1.86,837000.0,5087.2,3991.9,4076.2,0.0,0.0,13155.3,1598.3,3296.6,4214.5,0.0,0.0,90.0,66.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,2010,9000.0,54,486000.0,73000.0,2.4,1166000.0,1914.0,1757.0,4658.3,0.0,0.0,8329.3,5087.2,3991.9,4076.2,0.0,0.0,77.0,50.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,2008,9000.0,66,594000.0,214000.0,1.9,1129000.0,1598.3,3296.6,4214.5,0.0,0.0,9109.4,7696.2,3258.1,4149.6,0.0,0.0,74.0,56.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,2014,21000.0,65,1365000.0,137000.0,2.04,2785000.0,15202.6,17066.9,23805.3,692.1,0.0,56766.9,17338.3,17309.0,23873.8,0.0,0.0,69.0,60.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,2013,22000.0,60,1320000.0,66000.0,2.02,2666000.0,17338.3,17309.0,23873.8,0.0,0.0,58521.1,4939.2,12508.7,33718.9,59.7,0.0,69.0,63.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,2011,22000.0,64,1408000.0,239000.0,1.62,2281000.0,5894.4,15162.1,33501.0,2874.3,0.0,57431.8,3544.8,9049.8,21468.2,902.7,0.0,91.0,60.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,2009,24000.0,57,1368000.0,301000.0,1.42,1943000.0,4346.9,10079.4,21186.5,349.1,0.0,35961.9,2168.9,9093.8,25102.8,995.7,0.0,90.0,75.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,2016,24000.0,69,1656000.0,99000.0,1.85,3064000.0,15391.831578947367,12671.921052631578,11189.678947368422,334.5105263157895,2.6,39590.54210526316,1070.4,5235.9,5373.0,748.0,0.0,74.0,72.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,2015,24000.0,72,1728000.0,121000.0,2.06,3560000.0,1070.4,5235.9,5373.0,748.0,0.0,12427.3,15202.6,17066.9,23805.3,692.1,0.0,86.0,65.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,2010,25000.0,60,1500000.0,360000.0,1.47,2205000.0,3544.8,9049.8,21468.2,902.7,0.0,34965.5,4346.9,10079.4,21186.5,349.1,0.0,77.0,57.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,2012,25000.0,63,1575000.0,189000.0,1.98,3119000.0,4939.2,12508.7,33718.9,59.7,0.0,51226.5,5894.4,15162.1,33501.0,2874.3,0.0,71.0,64.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,2008,28000.0,75,2100000.0,525000.0,1.35,2835000.0,2168.9,9093.8,25102.8,995.7,0.0,37361.2,209.8,12750.1,17475.5,1277.4,0.0,74.0,80.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,2007,28000.0,80,2240000.0,672000.0,0.95,2128000.0,209.8,12750.1,17475.5,1277.4,0.0,31712.8,1518.4,7036.6,20647.9,4686.6,0.0,74.0,76.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,2017,29000.0,77,2233000.0,223000.0,1.91,4265000.0,15391.831578947367,12671.921052631578,11189.678947368422,334.5105263157895,2.6,39590.54210526316,15391.831578947367,12671.921052631578,11189.678947368424,334.5105263157895,2.6,78.0,69.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,2006,32000.0,76,2432000.0,730000.0,0.89,2164000.0,1518.4,7036.6,20647.9,4686.6,0.0,33889.5,2458.3,6902.1,7310.4,981.2,0.0,91.0,69.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,2005,36000.0,69,2484000.0,571000.0,0.97,2409000.0,2458.3,6902.1,7310.4,981.2,0.0,17652.0,530.9,11941.3,9368.6,3312.4,0.0,78.0,57.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33,2004,40000.0,57,2280000.0,388000.0,0.87,1984000.0,530.9,11941.3,9368.6,3312.4,0.0,25153.2,0.0,3266.6,2280.0,20.8,0.0,87.0,75.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,2003,40000.0,75,3000000.0,810000.0,1.26,3780000.0,0.0,3266.6,2280.0,20.8,0.0,5567.4,0.0,1306.7,1462.0,107.9,0.0,75.0,88.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,2002,45000.0,88,3960000.0,871000.0,1.26,4990000.0,0.0,1306.7,1462.0,107.9,0.0,2876.6,0.0,2884.8,684.9,0.0,0.0,96.0,98.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,2001,50000.0,98,4900000.0,1617000.0,0.65,3185000.0,0.0,2884.8,684.9,0.0,0.0,3569.7,0.0,844.0,81.2,0.0,0.0,115.0,93.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,1999,52000.0,89,4628000.0,2592000.0,0.53,2453000.0,0.0,692.2,0.0,0.0,0.0,692.2,0.0,1262.3,0.0,0.0,0.0,128.0,65.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,2000,52000.0,93,4836000.0,3337000.0,0.57,2757000.0,0.0,844.0,81.2,0.0,0.0,925.2,0.0,692.2,0.0,0.0,0.0,105.0,89.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39,1998,53000.0,65,3445000.0,1688000.0,0.59,2033000.0,0.0,1262.3,0.0,0.0,0.0,1262.3,15391.831578947367,12671.921052631578,11189.678947368424,334.5105263157895,2.6,85.1,72.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,2009,20000.0,52,1040000.0,562000.0,1.45,1508000.0,266.0,9309.2,526.1,1246.8,0.0,11348.1,0.0,8541.8,190.8,1791.8,0.0,90.0,64.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,2017,22000.0,40,880000.0,97000.0,1.96,1725000.0,15391.831578947367,12671.921052631578,11189.678947368422,334.5105263157895,2.6,39590.54210526316,15391.831578947367,12671.921052631578,11189.678947368424,334.5105263157895,2.6,78.0,46.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,2012,22000.0,46,1012000.0,253000.0,1.79,1811000.0,2036.4,10907.6,759.2,1535.1,0.0,15238.3,1188.3,15866.7,2721.0,1134.2,0.0,71.0,53.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,2011,23000.0,53,1219000.0,427000.0,1.55,1889000.0,1188.3,15866.7,2721.0,1134.2,0.0,20910.2,921.7,9530.3,1225.3,857.7,0.0,91.0,77.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,2010,24000.0,77,1848000.0,665000.0,1.52,2809000.0,921.7,9530.3,1225.3,857.7,0.0,12535.0,266.0,9309.2,526.1,1246.8,0.0,77.0,52.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,2008,25000.0,64,1600000.0,336000.0,1.26,2016000.0,0.0,8541.8,190.8,1791.8,0.0,10524.4,48.7,9038.0,304.0,679.5,0.0,74.0,64.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,2014,26000.0,39,1014000.0,193000.0,1.92,1947000.0,2262.1,15137.4,1680.7,569.1,0.0,19649.3,2139.8,15241.6,226.5,1961.4,0.0,69.0,36.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,2015,26000.0,49,1274000.0,306000.0,2.03,2586000.0,223.1,13254.2,340.1,1319.1,0.0,15136.5,2262.1,15137.4,1680.7,569.1,0.0,86.0,39.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,2016,27000.0,46,1242000.0,261000.0,1.97,2447000.0,15391.831578947367,12671.921052631578,11189.678947368422,334.5105263157895,2.6,39590.54210526316,223.1,13254.2,340.1,1319.1,0.0,74.0,49.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,2013,29000.0,36,1044000.0,251000.0,1.96,2046000.0,2139.8,15241.6,226.5,1961.4,0.0,19569.3,2036.4,10907.6,759.2,1535.1,0.0,69.0,46.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,2007,30000.0,64,1920000.0,902000.0,1.26,2419000.0,48.7,9038.0,304.0,679.5,0.0,10070.2,48.7,9657.7,547.3,3470.6,0.0,74.0,65.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,2006,30000.0,65,1950000.0,839000.0,0.91,1775000.0,48.7,9657.7,547.3,3470.6,0.0,13724.3,0.0,8633.8,141.2,2509.3,0.0,91.0,50.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,2004,32000.0,55,1760000.0,774000.0,1.11,1954000.0,96.7,10884.3,257.8,1635.9,0.0,12874.7,0.0,9847.5,94.4,1120.2,0.0,87.0,72.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,2003,35000.0,72,2520000.0,983000.0,1.34,3377000.0,0.0,9847.5,94.4,1120.2,0.0,11062.1,0.0,6235.4,562.2,141.6,0.0,75.0,63.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,2005,36000.0,50,1800000.0,720000.0,1.04,1872000.0,0.0,8633.8,141.2,2509.3,0.0,11284.3,96.7,10884.3,257.8,1635.9,0.0,78.0,55.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,2002,38000.0,63,2394000.0,1197000.0,1.08,2586000.0,0.0,6235.4,562.2,141.6,0.0,6939.2,0.0,3713.1,19.6,0.0,0.0,96.0,59.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,2000,40000.0,59,2360000.0,1322000.0,0.73,1723000.0,0.0,10467.4,0.0,0.0,0.0,10467.4,0.0,5171.6,0.0,0.0,0.0,105.0,62.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,2001,43000.0,59,2537000.0,1142000.0,0.72,1827000.0,0.0,3713.1,19.6,0.0,0.0,3732.7,0.0,10467.4,0.0,0.0,0.0,115.0,59.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,1999,52000.0,62,3224000.0,1548000.0,0.62,1999000.0,0.0,5171.6,0.0,0.0,0.0,5171.6,0.0,4814.2,0.0,0.0,0.0,128.0,60.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,1998,55000.0,60,3300000.0,1485000.0,0.64,2112000.0,0.0,4814.2,0.0,0.0,0.0,4814.2,15391.831578947367,12671.921052631578,11189.678947368424,334.5105263157895,2.6,85.1,55.55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,2015,275000.0,30,8250000.0,1485000.0,2.03,16748000.0,143619.6,150569.3,17910.1,22852.8,0.0,334951.8,7845.2,134904.2,15249.1,20154.2,0.0,86.0,39.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,2016,310000.0,36,11160000.0,2009000.0,2.04,22766000.0,15391.831578947367,12671.921052631578,11189.678947368422,334.5105263157895,2.6,39590.54210526316,143619.6,150569.3,17910.1,22852.8,0.0,74.0,30.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,2014,320000.0,39,12480000.0,2995000.0,2.06,25709000.0,7845.2,134904.2,15249.1,20154.2,0.0,178152.7,6569.3,130277.0,12189.3,18075.6,0.0,69.0,33.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,2013,330000.0,33,10890000.0,2505000.0,2.11,22978000.0,6569.3,130277.0,12189.3,18075.6,0.0,167111.2,2898.1,112795.9,7572.1,17423.0,0.3,69.0,35.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,2012,330000.0,35,11550000.0,3119000.0,1.94,22407000.0,2898.1,112795.9,7572.1,17423.0,0.3,140689.4,14229.5,112450.6,7391.2,15457.0,0.0,71.0,48.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,2017,335000.0,41,13735000.0,2198000.0,2.09,28706000.0,15391.831578947367,12671.921052631578,11189.678947368422,334.5105263157895,2.6,39590.54210526316,15391.831578947367,12671.921052631578,11189.678947368424,334.5105263157895,2.6,78.0,36.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
