,state,urbanicity,year
46,Vermont,38.9,2011
47,Virginia,75.5,2011
48,Washington,84.1,2011
49,West Virginia,48.7,2011
50,Wisconsin,70.2,2011
51,Wyoming,64.8,2011
1,Alabama,59.0,2012
2,Alaska,66.0,2012
3,Arizona,89.8,2012
4,Arkansas,56.2,2012
5,California,95.0,2012
6,Colorado,86.2,2012
7,Connecticut,88.0,2012
8,Delaware,83.3,2012
9,District of Columbia,100.0,2012
10,Florida,91.2,2012
11,Georgia,75.1,2012
12,Hawaii,91.9,2012
13,Idaho,70.6,2012
14,Illinois,88.5,2012
15,Indiana,72.4,2012
16,Iowa,64.0,2012
17,Kansas,74.2,2012
18,Kentucky,58.4,2012
19,Louisiana,73.2,2012
20,Maine,38.7,2012
21,Maryland,87.2,2012
22,Massachusetts,92.0,2012
23,Michigan,74.6,2012
24,Minnesota,73.3,2012
25,Mississippi,49.4,2012
26,Missouri,70.4,2012
27,Montana,55.9,2012
28,Nebraska,73.1,2012
29,Nevada,94.2,2012
30,New Hampshire,60.3,2012
31,New Jersey,94.7,2012
32,New Mexico,77.4,2012
33,New York,87.9,2012
34,North Carolina,66.1,2012
35,North Dakota,59.9,2012
36,Ohio,77.9,2012
37,Oklahoma,66.2,2012
38,Oregon,81.0,2012
39,Pennsylvania,78.7,2012
40,Rhode Island,90.7,2012
41,South Carolina,66.3,2012
42,South Dakota,56.7,2012
43,Tennessee,66.4,2012
44,Texas,84.7,2012
45,Utah,90.6,2012
46,Vermont,38.9,2012
47,Virginia,75.5,2012
48,Washington,84.1,2012
49,West Virginia,48.7,2012
50,Wisconsin,70.2,2012
51,Wyoming,64.8,2012
1,Alabama,59.0,2013
2,Alaska,66.0,2013
3,Arizona,89.8,2013
4,Arkansas,56.2,2013
5,California,95.0,2013
6,Colorado,86.2,2013
7,Connecticut,88.0,2013
8,Delaware,83.3,2013
9,District of Columbia,100.0,2013
10,Florida,91.2,2013
11,Georgia,75.1,2013
12,Hawaii,91.9,2013
13,Idaho,70.6,2013
14,Illinois,88.5,2013
15,Indiana,72.4,2013
16,Iowa,64.0,2013
17,Kansas,74.2,2013
18,Kentucky,58.4,2013
19,Louisiana,73.2,2013
20,Maine,38.7,2013
21,Maryland,87.2,2013
22,Massachusetts,92.0,2013
23,Michigan,74.6,2013
24,Minnesota,73.3,2013
25,Mississippi,49.4,2013
26,Missouri,70.4,2013
27,Montana,55.9,2013
28,Nebraska,73.1,2013
29,Nevada,94.2,2013
30,New Hampshire,60.3,2013
31,New Jersey,94.7,2013
32,New Mexico,77.4,2013
33,New York,87.9,2013
34,North Carolina,66.1,2013
35,North Dakota,59.9,2013
36,Ohio,77.9,2013
37,Oklahoma,66.2,2013
38,Oregon,81.0,2013
39,Pennsylvania,78.7,2013
40,Rhode Island,90.7,2013
41,South Carolina,66.3,2013
42,South Dakota,56.7,2013
43,Tennessee,66.4,2013
44,Texas,84.7,2013
45,Utah,90.6,2013
46,Vermont,38.9,2013
47,Virginia,75.5,2013
48,Washington,84.1,2013
49,West Virginia,48.7,2013
50,Wisconsin,70.2,2013
51,Wyoming,64.8,2013
1,Alabama,59.0,2014
2,Alaska,66.0,2014
3,Arizona,89.8,2014
4,Arkansas,56.2,2014
5,California,95.0,2014
6,Colorado,86.2,2014
7,Connecticut,88.0,2014
8,Delaware,83.3,2014
9,District of Columbia,100.0,2014
10,Florida,91.2,2014
11,Georgia,75.1,2014
12,Hawaii,91.9,2014
13,Idaho,70.6,2014
14,Illinois,88.5,2014
15,Indiana,72.4,2014
16,Iowa,64.0,2014
17,Kansas,74.2,2014
18,Kentucky,58.4,2014
19,Louisiana,73.2,2014
20,Maine,38.7,2014
21,Maryland,87.2,2014
22,Massachusetts,92.0,2014
23,Michigan,74.6,2014
24,Minnesota,73.3,2014
25,Mississippi,49.4,2014
26,Missouri,70.4,2014
27,Montana,55.9,2014
28,Nebraska,73.1,2014
29,Nevada,94.2,2014
30,New Hampshire,60.3,2014
31,New Jersey,94.7,2014
32,New Mexico,77.4,2014
33,New York,87.9,2014
34,North Carolina,66.1,2014
35,North Dakota,59.9,2014
36,Ohio,77.9,2014
37,Oklahoma,66.2,2014
38,Oregon,81.0,2014
39,Pennsylvania,78.7,2014
40,Rhode Island,90.7,2014
41,South Carolina,66.3,2014
42,South Dakota,56.7,2014
43,Tennessee,66.4,2014
44,Texas,84.7,2014
45,Utah,90.6,2014
46,Vermont,38.9,2014
47,Virginia,75.5,2014
48,Washington,84.1,2014
49,West Virginia,48.7,2014
50,Wisconsin,70.2,2014
51,Wyoming,64.8,2014
1,Alabama,59.0,2015
2,Alaska,66.0,2015
3,Arizona,89.8,2015
4,Arkansas,56.2,2015
5,California,95.0,2015
6,Colorado,86.2,2015
7,Connecticut,88.0,2015
8,Delaware,83.3,2015
9,District of Columbia,100.0,2015
10,Florida,91.2,2015
11,Georgia,75.1,2015
12,Hawaii,91.9,2015
13,Idaho,70.6,2015
14,Illinois,88.5,2015
15,Indiana,72.4,2015
16,Iowa,64.0,2015
17,Kansas,74.2,2015
18,Kentucky,58.4,2015
19,Louisiana,73.2,2015
20,Maine,38.7,2015
21,Maryland,87.2,2015
22,Massachusetts,92.0,2015
23,Michigan,74.6,2015
24,Minnesota,73.3,2015
25,Mississippi,49.4,2015
26,Missouri,70.4,2015
27,Montana,55.9,2015
28,Nebraska,73.1,2015
29,Nevada,94.2,2015
30,New Hampshire,60.3,2015
31,New Jersey,94.7,2015
32,New Mexico,77.4,2015
33,New York,87.9,2015
34,North Carolina,66.1,2015
35,North Dakota,59.9,2015
36,Ohio,77.9,2015
37,Oklahoma,66.2,2015
38,Oregon,81.0,2015
39,Pennsylvania,78.7,2015
40,Rhode Island,90.7,2015
41,South Carolina,66.3,2015
42,South Dakota,56.7,2015
43,Tennessee,66.4,2015
44,Texas,84.7,2015
45,Utah,90.6,2015
46,Vermont,38.9,2015
47,Virginia,75.5,2015
48,Washington,84.1,2015
49,West Virginia,48.7,2015
50,Wisconsin,70.2,2015
51,Wyoming,64.8,2015
1,Alabama,59.0,2016
2,Alaska,66.0,2016
3,Arizona,89.8,2016
4,Arkansas,56.2,2016
5,California,95.0,2016
6,Colorado,86.2,2016
7,Connecticut,88.0,2016
8,Delaware,83.3,2016
9,District of Columbia,100.0,2016
10,Florida,91.2,2016
11,Georgia,75.1,2016
12,Hawaii,91.9,2016
13,Idaho,70.6,2016
14,Illinois,88.5,2016
15,Indiana,72.4,2016
16,Iowa,64.0,2016
17,Kansas,74.2,2016
18,Kentucky,58.4,2016
19,Louisiana,73.2,2016
20,Maine,38.7,2016
21,Maryland,87.2,2016
22,Massachusetts,92.0,2016
23,Michigan,74.6,2016
24,Minnesota,73.3,2016
25,Mississippi,49.4,2016
26,Missouri,70.4,2016
27,Montana,55.9,2016
28,Nebraska,73.1,2016
29,Nevada,94.2,2016
30,New Hampshire,60.3,2016
31,New Jersey,94.7,2016
32,New Mexico,77.4,2016
33,New York,87.9,2016
34,North Carolina,66.1,2016
35,North Dakota,59.9,2016
36,Ohio,77.9,2016
37,Oklahoma,66.2,2016
38,Oregon,81.0,2016
39,Pennsylvania,78.7,2016
40,Rhode Island,90.7,2016
41,South Carolina,66.3,2016
42,South Dakota,56.7,2016
43,Tennessee,66.4,2016
44,Texas,84.7,2016
45,Utah,90.6,2016
46,Vermont,38.9,2016
47,Virginia,75.5,2016
48,Washington,84.1,2016
49,West Virginia,48.7,2016
50,Wisconsin,70.2,2016
51,Wyoming,64.8,2016
